name,address,street,postal_code,city,canton,phone,professions,official_website,google_search_url,type,url
Adus Medica AG,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 90,"Allgemeine Innere Medizin, Augenheilkunde, Chirurgie, Gynäkologie und Geburtshilfe, HNO (Hals-, Nasen-, Ohrenheilkunde), Hausarztmedizin (Allgemeinmedizin), Orthopädische Chirurgie, Urologie",Unknown,https://www.google.ch/search?q=Adus+Medica+AG+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/emm1/adus-medica-ag
Adus Medica - Kinder Chirurgie Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 310 71 71,Kinderchirurgie,Unknown,https://www.google.ch/search?q=Adus+Medica+-+Kinder+Chirurgie+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/ewhm/adus-medica-kinder-chirurgie-klinik
Adus Medica - Ophthalmologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 885 00 11,Augenheilkunde,Unknown,https://www.google.ch/search?q=Adus+Medica+-+Ophthalmologische+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/exvb/adus-medica-ophthalmologische-klinik
Adus Medica - Radiologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 64,"Nuklearmedizin, Radiologie",Unknown,https://www.google.ch/search?q=Adus+Medica+-+Radiologische+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/exeq/adus-medica-radiologische-klinik
Akut-Tagesklinik / IPW - Tagesklinik,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,052 224 37 37,"Psychiatrie, Psychotherapie",Unknown,https://www.google.ch/search?q=Akut-Tagesklinik+/+IPW+-+Tagesklinik+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/e0vi/akut-tagesklinik-ipw-tagesklinik
Akut-Tagesklinik / IPW,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,052 224 37 37,"Psychiatrie, Psychotherapie",Unknown,https://www.google.ch/search?q=Akut-Tagesklinik+/+IPW+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/ewt6/akut-tagesklinik-ipw
Ambulatorium Glattbrugg IPW - Psychiatrische Klinik,"Feldeggstrasse 5, 8152 Glattbrugg",Feldeggstrasse 5,8152,Glattbrugg,Zürich,052 264 39 00,"Psychiatrie, Psychotherapie",Unknown,https://www.google.ch/search?q=Ambulatorium+Glattbrugg+IPW+-+Psychiatrische+Klinik+Glattbrugg,Gruppenpraxis,https://www.onedoc.ch/de/klinik/glattbrugg/ewwl/ambulatorium-glattbrugg-ipw-psychiatrische-klinik
"Ambulatorium, Klinik Hohenegg - Psych. Ambulatorium","Sonneggstrasse 45, 8006 Zürich",Sonneggstrasse 45,8006,Zürich,Zürich,044 925 19 80,"Psychiatrie, Psychotherapie",Unknown,"https://www.google.ch/search?q=Ambulatorium,+Klinik+Hohenegg+-+Psych.+Ambulatorium+Zürich",Gruppenpraxis,https://www.onedoc.ch/de/klinik/zurich/exgm/ambulatorium-klinik-hohenegg-psych-ambulatorium
Ambulatorium und Memory-Klinik,"Alte Landstrasse 70, 8802 Kilchberg",Alte Landstrasse 70,8802,Kilchberg,Zürich,044 716 41 41,"Psychiatrie, Psychotherapie",Unknown,https://www.google.ch/search?q=Ambulatorium+und+Memory-Klinik+Kilchberg,Gruppenpraxis,https://www.onedoc.ch/de/klinik/kilchberg/e03o/ambulatorium-und-memory-klinik
Augenklinik Talwiesen,"Birmensdorferstrasse 318, 8055 Zürich",Birmensdorferstrasse 318,8055,Zürich,Zürich,044 463 63 63,Augenheilkunde,Unknown,https://www.google.ch/search?q=Augenklinik+Talwiesen+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/klinik/zurich/e0uq/augenklinik-talwiesen
Beauty2Go Klinik - Dr. med. Gkaitatzi Maria,"Fraumünsterstrasse 11, 8001 Zürich",Fraumünsterstrasse 11,8001,Zürich,Zürich,044 440 34 34,Dermatologie und Venerologie,Unknown,https://www.google.ch/search?q=Beauty2Go+Klinik+-+Dr.+med.+Gkaitatzi+Maria+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/klinik/zurich/ew32/beauty2go-klinik-dr-med-gkaitatzi-maria
Clienia Bergheim - Psychiatrische Klinik,"Holländerstrasse 80, 8707 Uetikon",Holländerstrasse 80,8707,Uetikon,Zürich,044 929 87 11,Allgemeine Innere Medizin,Unknown,https://www.google.ch/search?q=Clienia+Bergheim+-+Psychiatrische+Klinik+Uetikon,Gruppenpraxis,https://www.onedoc.ch/de/klinik/uetikon/ewor/clienia-bergheim-psychiatrische-klinik
Clienia Schlössli - Psychiatrische Klinik,"Schlösslistrasse 8, 8618 Oetwil am See",Schlösslistrasse 8,8618,Oetwil am See,Zürich,044 929 81 11,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Neurologie, Psychiatrie, Psychotherapie",Unknown,https://www.google.ch/search?q=Clienia+Schlössli+-+Psychiatrische+Klinik+Oetwil+am+See,Gruppenpraxis,https://www.onedoc.ch/de/klinik/oetwil-am-see/ewg1/clienia-schlossli-psychiatrische-klinik
"Dietikon, Ärztezentrum Limmatfeld - Radiologische Klinik","Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,044 745 17 90,Radiologie,Unknown,"https://www.google.ch/search?q=Dietikon,+Ärztezentrum+Limmatfeld+-+Radiologische+Klinik+Dietikon",Gruppenpraxis,https://www.onedoc.ch/de/klinik/dietikon/eyru/dietikon-arztezentrum-limmatfeld-radiologische-klinik
"Dietikon, Ärztezentrum Limmatfeld - Urologische Klinik","Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,044 745 17 50,Urologie,Unknown,"https://www.google.ch/search?q=Dietikon,+Ärztezentrum+Limmatfeld+-+Urologische+Klinik+Dietikon",Gruppenpraxis,https://www.onedoc.ch/de/klinik/dietikon/eya9/dietikon-arztezentrum-limmatfeld-urologische-klinik
"Ellikon an der Thur, Forel Klinik - Psychiatrie - Entwöhnung","Islikonerstrasse 5, 8548 Ellikon an der Thur",Islikonerstrasse 5,8548,Ellikon an der Thur,Zürich,052 369 11 11,"Psychiatrie, Psychotherapie",Unknown,"https://www.google.ch/search?q=Ellikon+an+der+Thur,+Forel+Klinik+-+Psychiatrie+-+Entwöhnung+Ellikon+an+der+Thur",Gruppenpraxis,https://www.onedoc.ch/de/klinik/ellikon-an-der-thur/eww8/ellikon-an-der-thur-forel-klinik-psychiatrie-entwohnung
"Ellikon an der Thur, Forel Klinik - Psychiatrie - Stationär","Islikonerstrasse 5, 8548 Ellikon an der Thur",Islikonerstrasse 5,8548,Ellikon an der Thur,Zürich,052 369 11 11,"Psychiatrie, Psychotherapie",Unknown,"https://www.google.ch/search?q=Ellikon+an+der+Thur,+Forel+Klinik+-+Psychiatrie+-+Stationär+Ellikon+an+der+Thur",Gruppenpraxis,https://www.onedoc.ch/de/klinik/ellikon-an-der-thur/e0uo/ellikon-an-der-thur-forel-klinik-psychiatrie-stationar
Eulach Klinik,"Brunngasse 6, 8400 Winterthur",Brunngasse 6,8400,Winterthur,Zürich,052 224 48 48,"Anästhesiologie, Gynäkologie und Geburtshilfe, Intensivmedizin, Orthopädische Chirurgie, Plastische, rekonstruktive und ästhetische Chirurgie, Urologie",Unknown,https://www.google.ch/search?q=Eulach+Klinik+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/euc8/eulach-klinik
Eulach Klinik - Ophthalmologische Klinik,"Brunngasse 6, 8400 Winterthur",Brunngasse 6,8400,Winterthur,Zürich,052 214 31 31,Unknown,Unknown,https://www.google.ch/search?q=Eulach+Klinik+-+Ophthalmologische+Klinik+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/ew5g/eulach-klinik-ophthalmologische-klinik
