name,address,street,postal_code,city,canton,url
Adus Medica AG,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,https://www.onedoc.ch/de/klinik/dielsdorf/emm1/adus-medica-ag
Adus Medica - Kinder Chirurgie Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,https://www.onedoc.ch/de/klinik/dielsdorf/ewhm/adus-medica-kinder-chirurgie-klinik
Adus Medica - Ophthalmologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,https://www.onedoc.ch/de/klinik/dielsdorf/exvb/adus-medica-ophthalmologische-klinik
Adus Medica - Radiologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,https://www.onedoc.ch/de/klinik/dielsdorf/exeq/adus-medica-radiologische-klinik
Akut-Tagesklinik / IPW - Tagesklinik,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,https://www.onedoc.ch/de/klinik/winterthur/e0vi/akut-tagesklinik-ipw-tagesklinik
Akut-Tagesklinik / IPW,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,https://www.onedoc.ch/de/klinik/winterthur/ewt6/akut-tagesklinik-ipw
Ambulatorium Glattbrugg IPW - Psychiatrische Klinik,"Feldeggstrasse 5, 8152 Glattbrugg",Feldeggstrasse 5,8152,Glattbrugg,Zürich,https://www.onedoc.ch/de/klinik/glattbrugg/ewwl/ambulatorium-glattbrugg-ipw-psychiatrische-klinik
"Ambulatorium, Klinik Hohenegg - Psych. Ambulatorium","Sonneggstrasse 45, 8006 Zürich",Sonneggstrasse 45,8006,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/exgm/ambulatorium-klinik-hohenegg-psych-ambulatorium
Ambulatorium und Memory-Klinik,"Alte Landstrasse 70, 8802 Kilchberg",Alte Landstrasse 70,8802,Kilchberg,Zürich,https://www.onedoc.ch/de/klinik/kilchberg/e03o/ambulatorium-und-memory-klinik
Augenklinik Talwiesen,"Birmensdorferstrasse 318, 8055 Zürich",Birmensdorferstrasse 318,8055,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/e0uq/augenklinik-talwiesen
Beauty2Go Klinik - Dr. med. Gkaitatzi Maria,"Fraumünsterstrasse 11, 8001 Zürich",Fraumünsterstrasse 11,8001,Zürich,Zürich,https://www.onedoc.ch/de/klinik/zurich/ew32/beauty2go-klinik-dr-med-gkaitatzi-maria
Clienia Bergheim - Psychiatrische Klinik,"Holländerstrasse 80, 8707 Uetikon",Holländerstrasse 80,8707,Uetikon,Zürich,https://www.onedoc.ch/de/klinik/uetikon/ewor/clienia-bergheim-psychiatrische-klinik
