name,address,street,postal_code,city,canton,phone,professions,official_website,google_search_url,type,url
360° Kinderwunsch Zentrum Zürich,"Alte Landstrasse 112, 8702 Zollikon",Alte Landstrasse 112,8702,Zollikon,Zürich,044 392 11 11,"Anästhesiologie, Gynäkologie und Geburtshilfe",https://360grad.ch/de/angebot/,https://www.google.ch/search?q=360°+Kinderwunsch+Zentrum+Zürich+Zollikon,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zollikon/ewkw/360-kinderwunsch-zentrum-zurich
ACAMED Ärztezentrum Binz,"Gassacherstrasse 12, 8122 Binz",Gassacherstrasse 12,8122,Binz,Zürich,044 980 21 21,Allgemeine Innere Medizin,https://acamed.ch/aerztezentrum-binz/,https://www.google.ch/search?q=ACAMED+Ärztezentrum+Binz+Binz,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/binz/ewo7/acamed-arztezentrum-binz
ACAMED Ärztezentrum Zürich-Luchswiesen,"Winterthurerstrasse 689, 8051 Zürich",Winterthurerstrasse 689,8051,Zürich,Zürich,044 325 12 12,Allgemeine Innere Medizin,https://acamed.ch/aerztezentrum-zuerich-luchswiesen/,https://www.google.ch/search?q=ACAMED+Ärztezentrum+Zürich-Luchswiesen+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exzw/acamed-arztezentrum-zurich-luchswiesen
ACAMED Arztpraxis Zürich-Altwiesen,"Altwiesenstrasse 222, 8051 Zürich",Altwiesenstrasse 222,8051,Zürich,Zürich,044 322 22 18,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/gruppenpraxis/zurich/ewm2/acamed-arztpraxis-zurich-altwiesen,https://www.google.ch/search?q=ACAMED+Arztpraxis+Zürich-Altwiesen+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewm2/acamed-arztpraxis-zurich-altwiesen
Activmed Arztpraxis,"Badenerstrasse 21, 8953 Dietikon",Badenerstrasse 21,8953,Dietikon,Zürich,044 740 37 40,Allgemeine Innere Medizin,,https://www.google.ch/search?q=Activmed+Arztpraxis+Dietikon,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dietikon/epqu/activmed-arztpraxis
Adimed Zentrum für Adipositas- und Stoffwechselmedizin Winterthur,"Lagerhausstrasse 9, 8400 Winterthur",Lagerhausstrasse 9,8400,Winterthur,Zürich,052 235 05 00,Allgemeine Innere Medizin,https://www.adimed.ch/,https://www.google.ch/search?q=Adimed+Zentrum+für+Adipositas-+und+Stoffwechselmedizin+Winterthur+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/exbo/adimed-zentrum-fur-adipositas-und-stoffwechselmedizin-winterthur
Adipositas & Stoffwechselzentrum Zürich,"Witellikerstrasse 36, 8008 Zürich",Witellikerstrasse 36,8008,Zürich,Zürich,044 387 40 00,Allgemeine Innere Medizin,https://www.asz-hirslanden.ch/,https://www.google.ch/search?q=Adipositas+&+Stoffwechselzentrum+Zürich+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exvp/adipositas-stoffwechselzentrum-zurich
ADUS Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 95,"Chirurgie, Orthopädische Chirurgie, Schmerztherapie, Sportmedizin, Traumatologie, Fusschirurgie | Fussoperation, Fussspezialist, Hüftarthroskopie, Hüftchirurgie | Hüftoperation, Hüftspezialist, Kniearthroskopie, Kniespezialist, Schulterchirurgie | Schulteroperation, Schulterspezialist, Sprunggelenkchirurgie | Sprunggelenkoperation, Sprunggelenksspezialist | Fussgelenksspezialist",https://www.adus-klinik.ch/,https://www.google.ch/search?q=ADUS+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dielsdorf/e73m/adus-klinik
aeromedical.ch,"Dällikerstrasse 15, 8105 Regensdorf",Dällikerstrasse 15,8105,Regensdorf,Zürich,044 840 04 50,Flugmedizin,http://aeromedical.ch/,https://www.google.ch/search?q=aeromedical.ch+Regensdorf,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/regensdorf/e46z/aeromedical-ch
Aerztehaus Fluntern,"Zürichbergstrasse 70, 8044 Zürich",Zürichbergstrasse 70,8044,Zürich,Zürich,044 256 88 22,"Allgemeine Innere Medizin, Endokrinologie und Diabetologie",https://www.onedoc.ch/en/group-practice/zurich/ewht/aerztehaus-fluntern,https://www.google.ch/search?q=Aerztehaus+Fluntern+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewht/aerztehaus-fluntern
