name,address,street,postal_code,city,canton,phone_number,professions,url,official_website,Zuweisung,Triggered_Keywords
Adus Medica - Chirurgie Allgemein,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 813 33 50,Chirurgie,https://www.onedoc.ch/de/spital/dielsdorf/exls/adus-medica-chirurgie-allgemein,,0,
Ambulante Augenchirurgie Zürich,"Talstrasse 65, 8001 Zürich",Talstrasse 65,8001,Zürich,Zürich,044 210 33 55,Augenheilkunde,https://www.onedoc.ch/de/spital/zurich/eq0r/ambulante-augenchirurgie-zurich,,0,
Ambulatorium Bülach (GEZ) IPW - Psych. Ambulatorium,"Gartematt 6, 8180 Bülach",Gartematt 6,8180,Bülach,Zürich,052 264 32 00,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/bulach/ewyc/ambulatorium-bulach-gez-ipw-psych-ambulatorium,,0,
Ambulatorium Glattbrugg IPW - Psych. Ambulatorium,"Feldeggstrasse 5, 8152 Glattbrugg",Feldeggstrasse 5,8152,Glattbrugg,Zürich,052 264 39 00,"Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/glattbrugg/e0yj/ambulatorium-glattbrugg-ipw-psych-ambulatorium,,0,
Ambulatorium Limmattal PUK ZH - Psych. Ambulatorium,"Zürcherstrasse 49, 8953 Dietikon",Zürcherstrasse 49,8953,Dietikon,Zürich,044 744 47 87,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/dietikon/ewjd/ambulatorium-limmattal-puk-zh-psych-ambulatorium,,0,
Ambulatorium Oerlikon PUK ZH,"Hofwiesenstrasse 318, 8050 Zürich",Hofwiesenstrasse 318,8050,Zürich,Zürich,044 315 57 30,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/e006/ambulatorium-oerlikon-puk-zh,,0,
Ambulatorium Oerlikon PUK ZH - Psych. Ambulatorium,"Hofwiesenstrasse 318, 8050 Zürich",Hofwiesenstrasse 318,8050,Zürich,Zürich,044 315 57 30,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ewqr/ambulatorium-oerlikon-puk-zh-psych-ambulatorium,,0,
Ambulatorium Römerhof - Psych. Ambulatorium,"Klosbachstrasse 110, 8032 Zürich",Klosbachstrasse 110,8032,Zürich,Zürich,044 261 00 11,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ewvq/ambulatorium-romerhof-psych-ambulatorium,,0,
Arud Checkpoint Zürich - Diverse,"Konradstrasse 1, 8005 Zürich",Konradstrasse 1,8005,Zürich,Zürich,044 455 59 10,Allgemeine Innere Medizin,https://www.onedoc.ch/de/spital/zurich/ewzc/arud-checkpoint-zurich-diverse,,0,
Arud Zentrum für Suchtmedizin - Innere Medizin,"Schützengasse 31, 8001 Zürich",Schützengasse 31,8001,Zürich,Zürich,058 360 50 00,"Allgemeine Innere Medizin, Infektiologie",https://www.onedoc.ch/de/spital/zurich/e0vr/arud-zentrum-fur-suchtmedizin-innere-medizin,,0,
