name,address,street,postal_code,city,canton,phone_number,professions,url
Praxis Dr. med. Erni Helena,"Sumatrastrasse 25, 8006 Zürich",Sumatrastrasse 25,8006,Zürich,Zürich,044 422 33 20,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/zurich/evp/praxis-dr-med-erni-helena
Praxis Dr. med. Ernst Meli Jrene,"Streulistrasse 28, 8032 Zürich",Streulistrasse 28,8032,Zürich,Zürich,044 380 70 90,"Allgemeine Innere Medizin, Homöopathie",https://www.onedoc.ch/de/medizinische-praxis/zurich/ew10/praxis-dr-med-ernst-meli-jrene
Praxis Dr. med. Ersch Jörg,"Florastrasse 10, 8610 Uster",Florastrasse 10,8610,Uster,Zürich,044 940 89 11,Pädiatrie,https://www.onedoc.ch/de/medizinische-praxis/uster/exyi/praxis-dr-med-ersch-jorg
Praxis Dr. med. Escher Kubli Pascale,"Toblerstrasse 51, 8044 Zürich",Toblerstrasse 51,8044,Zürich,Zürich,043 268 70 70,Anästhesiologie,https://www.onedoc.ch/de/medizinische-praxis/zurich/e0w4/praxis-dr-med-escher-kubli-pascale
Praxis Dr. med. Eschmann Jean-Jacques,"Mutschellenstrasse 187, 8038 Zürich",Mutschellenstrasse 187,8038,Zürich,Zürich,044 482 11 52,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/exrt/praxis-dr-med-eschmann-jean-jacques
Praxis Dr. med. Etter-Kalberer Gisela,"Bachtelstrasse 9, 8805 Richterswil",Bachtelstrasse 9,8805,Richterswil,Zürich,044 687 48 28,"Allgemeine Innere Medizin, Homöopathie",https://www.onedoc.ch/de/medizinische-praxis/richterswil/ew13/praxis-dr-med-etter-kalberer-gisela
Praxis Dr. med. Eugster André,"Münzgasse 6, 8400 Winterthur",Münzgasse 6,8400,Winterthur,Zürich,052 214 07 07,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/winterthur/exyk/praxis-dr-med-eugster-andre
Praxis Dr. med. Eveline Federspiel,"Germaniastrasse 57, 8006 Zürich",Germaniastrasse 57,8006,Zürich,Zürich,044 361 26 26,Augenheilkunde,https://www.onedoc.ch/de/medizinische-praxis/zurich/eyge/praxis-dr-med-eveline-federspiel
Praxis Dr. med. Fakin,"Limmatquai 2, 8001 Zürich",Limmatquai 2,8001,Zürich,Zürich,044 250 95 88,,https://www.onedoc.ch/de/medizinische-praxis/zurich/exym/praxis-dr-med-fakin
Praxis Dr. med. Falke Jörg,"Toblerstrasse 51, 8044 Zürich",Toblerstrasse 51,8044,Zürich,Zürich,043 268 30 70,Anästhesiologie,https://www.onedoc.ch/de/medizinische-praxis/zurich/exyn/praxis-dr-med-falke-jorg
Praxis Dr. med. Fantin Amedeo,"Gerichtsstrasse 6, 8610 Uster",Gerichtsstrasse 6,8610,Uster,Zürich,044 941 59 59,"Allgemeine Innere Medizin, Gastroenterologie",https://www.onedoc.ch/de/medizinische-praxis/uster/exyo/praxis-dr-med-fantin-amedeo
Praxis Dr. med. Farshad Tabrizi Schneider Anahita,"Alte Bahnhofstrasse 22, 8603 Schwerzenbach",Alte Bahnhofstrasse 22,8603,Schwerzenbach,Zürich,044 515 86 60,"Allgemeine Innere Medizin, Angiologie",https://www.onedoc.ch/de/medizinische-praxis/schwerzenbach/ewf5/praxis-dr-med-farshad-tabrizi-schneider-anahita
Praxis Dr. med. Fassnacht Wolfgang Julius,"Weinbergstrasse 29, 8006 Zürich",Weinbergstrasse 29,8006,Zürich,Zürich,076 419 49 59,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/zurich/exyr/praxis-dr-med-fassnacht-wolfgang-julius
Praxis Dr. med. Fauchère-Gnädinger Rita,"Schindlersteig 5, 8006 Zürich",Schindlersteig 5,8006,Zürich,Zürich,044 310 39 60,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/medizinische-praxis/zurich/ew2b/praxis-dr-med-fauchere-gnadinger-rita
Praxis Dr. med. Federspiel Urs,"Uraniastrasse 11, 8001 Zürich",Uraniastrasse 11,8001,Zürich,Zürich,044 211 33 75,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/zurich/exys/praxis-dr-med-federspiel-urs
