name,address,street,postal_code,city,canton,phone_number,professions,url,official_website,Zuweisung
"4KidsPlus - Praxis für emotionale Entwicklung, Ärztehaus Tannenhof","Florastrasse 16, 8632 Tann",Florastrasse 16,8632,Tann,Zürich,055 525 60 61,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/medizinische-praxis/tann/e7cx/4kidsplus-praxis-fur-emotionale-entwicklung-arztehaus-tannenhof,https://www.onedoc.ch/de/medizinische-praxis/tann/e7cx/4kidsplus-praxis-fur-emotionale-entwicklung-arztehaus-tannenhof,0
Above & Beyond - Praxis für sexuelle und emotionale Gesundheit,"Obstgartenstrasse 20, 8006 Zürich",Obstgartenstrasse 20,8006,Zürich,Zürich,077 457 03 44,"Allgemeine Innere Medizin, Impfung, HIV | AIDS, HIV-Test, Humane Papillomaviren Impfung (HPV) | Gebärmutterhalskrebsimpfung, Impfberatung, Sexuell übertragbare Krankheiten | Sexuell übertragbare Infektionen (STD/STI)",https://www.onedoc.ch/de/medizinische-praxis/zurich/e859/above-beyond-praxis-fur-sexuelle-und-emotionale-gesundheit,https://www.sexuelle-gesundheit.ch/consultancies/above-beyond-praxis-fuer-sexuelle-und-emotionale-gesundheit,0
ALTA Aesthetics ZH,"Stettbachstrasse 12, 8702 Zollikon",Stettbachstrasse 12,8702,Zollikon,Zürich,079 459 67 99,"Haartransplantation, Ästhetische Medizin, Blepharoplastik | Augenlidchirurgie, Haartransplantation, Injektion von Botulinumtoxin | Botox, Injektion von Hyaluronsäure, Injektion von plättchenreichem Plasma | PRP | Vampire Lift",https://www.onedoc.ch/de/medizinische-praxis/zollikon/ebbqc/alta-aesthetics-zh,https://www.alta-aesthetics-zh.ch/,1
"ALTA Aesthetics - Zurich/Zollikon Clinic for Face, Body, Hair & Longevity","Stettbachstrasse 12, 8702 Zollikon",Stettbachstrasse 12,8702,Zollikon,Zürich,027 563 10 00,,https://www.onedoc.ch/de/medizinische-praxis/zollikon/ebbqb/alta-aesthetics-zurich-zollikon-clinic-for-face-body-hair-longevity,https://www.alta-aesthetics-zh.ch/,1
Aorten- und GefässZentrum,"Witellikerstrasse 40, 8032 Zürich",Witellikerstrasse 40,8032,Zürich,Zürich,044 387 29 20,"Chirurgie, Gefässchirurgie, Herzchirurgie",https://www.onedoc.ch/de/medizinische-praxis/zurich/euhb/aorten-und-gefasszentrum,https://aorten-gefaesszentrum.ch/,0
aprioris Soforthilfe-Praxis Albisriederplatz,"Albisriederstrasse 5, 8003 Zürich",Albisriederstrasse 5,8003,Zürich,Zürich,044 442 28 05,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj1/aprioris-soforthilfe-praxis-albisriederplatz,https://www.aprioris.ch/,0
aprioris Soforthilfe-Praxis Green City,"Maneggstrasse 93, 8041 Zürich",Maneggstrasse 93,8041,Zürich,Zürich,044 442 28 03,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj2/aprioris-soforthilfe-praxis-green-city,https://www.aprioris.ch/standorte/termin-green-city/,0
aprioris Soforthilfe-Praxis Limmatplatz,"Limmatstrasse 119, 8005 Zürich",Limmatstrasse 119,8005,Zürich,Zürich,044 442 28 04,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj3/aprioris-soforthilfe-praxis-limmatplatz,https://www.aprioris.ch/,0
aprioris Soforthilfe-Praxis Marktgasse Winterthur,"Marktgasse 19, 8400 Winterthur",Marktgasse 19,8400,Winterthur,Zürich,044 442 28 06,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ebaj6/aprioris-soforthilfe-praxis-marktgasse-winterthur,https://www.aprioris.ch/,0
aprioris Soforthilfe-Praxis Morgental,"Albisstrasse 44, 8038 Zürich",Albisstrasse 44,8038,Zürich,Zürich,044 442 28 02,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj4/aprioris-soforthilfe-praxis-morgental,https://www.aprioris.ch/standorte/termin-morgental/,0
aprioris Soforthilfe-Praxis Paradeplatz,"Poststrasse 6, 8001 Zürich",Poststrasse 6,8001,Zürich,Zürich,044 442 28 01,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj5/aprioris-soforthilfe-praxis-paradeplatz,https://www.aprioris.ch/,0
Ärztegemeinschaft Dietlikon,"Bromackerstrasse 9, 8305 Dietlikon",Bromackerstrasse 9,8305,Dietlikon,Zürich,044 835 20 25,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Rheumatologie",https://www.onedoc.ch/de/medizinische-praxis/dietlikon/eygz/arztegemeinschaft-dietlikon,https://praxisdietlikon.ch/,0
Ärztehaus Seebach,"Landhusweg 4, 8052 Zürich",Landhusweg 4,8052,Zürich,Zürich,044 300 11 80,"Allgemeine Innere Medizin, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Freiwilliger Schwangerschaftsabbruch | Abtreibung | Abort, Harninkontinenz | Blasenschwäche, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Vasektomie | Unterbindung | Männliche Sterilisation, Verhütung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Vorsorgeuntersuchung bei Kindern | Pädiatrische Vorsorgeuntersuchung | Entwicklungskontrolle, Vorsorgeuntersuchung | Check up, Wechseljahre | Menopause",https://www.onedoc.ch/de/medizinische-praxis/zurich/eba5e/arztehaus-seebach,https://aerztehaus-seebach.ch/,0
Ärztehaus Sonnenhof - Dr. med. Ralf Baumgartner,"Freiestrasse 211, 8032 Zürich",Freiestrasse 211,8032,Zürich,Zürich,044 381 45 48,"Gynäkologie und Geburtshilfe, Familienplanung, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verhütung, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Wechseljahre | Menopause",https://www.onedoc.ch/de/medizinische-praxis/zurich/epk1/arztehaus-sonnenhof-dr-med-ralf-baumgartner,https://baumgartnergyn.ch/,0
Ärztepraxis Eichwis,"Rickenstrasse 9, 8634 Hombrechtikon",Rickenstrasse 9,8634,Hombrechtikon,Zürich,055 244 44 40,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Manuelle Medizin, Psychiatrie, Psychosomatische und psychosoziale Medizin, Psychotherapie, Tropen- und Reisemedizin, Abdomensonografie | Ultraschall des Bauches, Adipositas, Allergie | AllergoTest | Allergieabklärung, Impfberatung, Pflege von Wunden | Wundbehandlung, Reiseberatung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Vorsorgeuntersuchung bei Kindern | Pädiatrische Vorsorgeuntersuchung | Entwicklungskontrolle, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/hombrechtikon/ebat8/arztepraxis-eichwis,https://eichwis.ch/,1
Ärztezentrum Seebach Zürich,"Bahnhaldenstrasse 7, 8052 Zürich",Bahnhaldenstrasse 7,8052,Zürich,Zürich,044 302 11 82,"Hausarztmedizin (Allgemeinmedizin), Diabetes, Elektrokardiogramm (EKG), Messung des Blutdrucks, Röntgen, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/zurich/e6hs/arztezentrum-seebach-zurich,https://www.aerztezentrum-seebach.ch/,1
Ärztezentrum Winterthur - Dr. med. Christoph Eismann,"Sankt-Georgen-Strasse 6, 8400 Winterthur",Sankt-Georgen-Strasse 6,8400,Winterthur,Zürich,052 246 03 03,Allgemeine Innere Medizin,https://www.onedoc.ch/de/medizinische-praxis/winterthur/e26/arztezentrum-winterthur-dr-med-christoph-eismann,https://ärztezentrum-eismann.ch/,0
Ärztezentrum Wolfhausen,"Landstrasse 29, 8633 Wolfhausen",Landstrasse 29,8633,Wolfhausen,Zürich,055 243 24 24,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/medizinische-praxis/wolfhausen/e6i0/arztezentrum-wolfhausen,https://www.aerztezentrum-wolfhausen.ch/,0
Arztpraxis beim Gemeindehaus,"Stationsstrasse 20, 8105 Regensdorf",Stationsstrasse 20,8105,Regensdorf,Zürich,044 843 33 00,"Allgemeine Innere Medizin, Allergie | AllergoTest | Allergieabklärung, Harnwegsinfektion | Zystitis | Blasenentzündung, Herz-Kreislauf-Prävention | CardioCheck, Kopfschmerzen und Migräne, Nachtarbeitsuntersuchung, Präoperative Untersuchung, Reiseberatung, Sexuell übertragbare Krankheiten | Sexuell übertragbare Infektionen (STD/STI), Verkehrsmedizinische Kontrolluntersuchung STUFE 1",https://www.onedoc.ch/de/medizinische-praxis/regensdorf/eq6l/arztpraxis-beim-gemeindehaus,,0
Arztpraxis Dr. med. Gabi Egli,"Bergstrasse 143, 8707 Uetikon",Bergstrasse 143,8707,Uetikon,Zürich,044 920 19 15,"Hausarztmedizin (Allgemeinmedizin), Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung | Check up",https://www.onedoc.ch/de/medizinische-praxis/uetikon/e3ws/arztpraxis-dr-med-gabi-egli,https://internistin.ch/,0
Arztpraxis Dr. med. Peter Lauber,"Asylstrasse 19, 8032 Zürich",Asylstrasse 19,8032,Zürich,Zürich,043 268 33 55,"Allgemeine Innere Medizin, Anthroposophische Medizin, Hausarztmedizin (Allgemeinmedizin), Neuraltherapie",https://www.onedoc.ch/de/medizinische-praxis/zurich/eqbn/arztpraxis-dr-med-peter-lauber,https://www.lauber-praxis.ch/Startseite/,0
