name,address,street,postal_code,city,canton,phone_number,professions,url
"4KidsPlus - Praxis für emotionale Entwicklung, Ärztehaus Tannenhof","Florastrasse 16, 8632 Tann",Florastrasse 16,8632,Tann,Zürich,055 525 60 61,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/medizinische-praxis/tann/e7cx/4kidsplus-praxis-fur-emotionale-entwicklung-arztehaus-tannenhof
Above & Beyond - Praxis für sexuelle und emotionale Gesundheit,"Obstgartenstrasse 20, 8006 Zürich",Obstgartenstrasse 20,8006,Zürich,Zürich,077 457 03 44,"Allgemeine Innere Medizin, Impfung, HIV | AIDS, HIV-Test, Humane Papillomaviren Impfung (HPV) | Gebärmutterhalskrebsimpfung, Impfberatung, Sexuell übertragbare Krankheiten | Sexuell übertragbare Infektionen (STD/STI)",https://www.onedoc.ch/de/medizinische-praxis/zurich/e859/above-beyond-praxis-fur-sexuelle-und-emotionale-gesundheit
ALTA Aesthetics ZH,"Stettbachstrasse 12, 8702 Zollikon",Stettbachstrasse 12,8702,Zollikon,Zürich,079 459 67 99,"Haartransplantation, Ästhetische Medizin, Blepharoplastik | Augenlidchirurgie, Haartransplantation, Injektion von Botulinumtoxin | Botox, Injektion von Hyaluronsäure, Injektion von plättchenreichem Plasma | PRP | Vampire Lift",https://www.onedoc.ch/de/medizinische-praxis/zollikon/ebbqc/alta-aesthetics-zh
"ALTA Aesthetics - Zurich/Zollikon Clinic for Face, Body, Hair & Longevity","Stettbachstrasse 12, 8702 Zollikon",Stettbachstrasse 12,8702,Zollikon,Zürich,027 563 10 00,,https://www.onedoc.ch/de/medizinische-praxis/zollikon/ebbqb/alta-aesthetics-zurich-zollikon-clinic-for-face-body-hair-longevity
Aorten- und GefässZentrum,"Witellikerstrasse 40, 8032 Zürich",Witellikerstrasse 40,8032,Zürich,Zürich,044 387 29 20,"Chirurgie, Gefässchirurgie, Herzchirurgie",https://www.onedoc.ch/de/medizinische-praxis/zurich/euhb/aorten-und-gefasszentrum
aprioris Soforthilfe-Praxis Albisriederplatz,"Albisriederstrasse 5, 8003 Zürich",Albisriederstrasse 5,8003,Zürich,Zürich,044 442 28 05,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj1/aprioris-soforthilfe-praxis-albisriederplatz
aprioris Soforthilfe-Praxis Green City,"Maneggstrasse 93, 8041 Zürich",Maneggstrasse 93,8041,Zürich,Zürich,044 442 28 03,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj2/aprioris-soforthilfe-praxis-green-city
aprioris Soforthilfe-Praxis Limmatplatz,"Limmatstrasse 119, 8005 Zürich",Limmatstrasse 119,8005,Zürich,Zürich,044 442 28 04,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj3/aprioris-soforthilfe-praxis-limmatplatz
aprioris Soforthilfe-Praxis Marktgasse Winterthur,"Marktgasse 19, 8400 Winterthur",Marktgasse 19,8400,Winterthur,Zürich,044 442 28 06,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/winterthur/ebaj6/aprioris-soforthilfe-praxis-marktgasse-winterthur
aprioris Soforthilfe-Praxis Morgental,"Albisstrasse 44, 8038 Zürich",Albisstrasse 44,8038,Zürich,Zürich,044 442 28 02,"Hausarztmedizin (Allgemeinmedizin), Fadenentfernung | Klammerentfernung, Fusspilz | Nagelpilz, Harnwegsinfektion | Zystitis | Blasenentzündung, Impfberatung, Kopfschmerzen und Migräne, Nackenschmerzen, Pflege von Wunden | Wundbehandlung, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Serologischer Covid-19 Test, Vorsorgeuntersuchung Harnwegsinfektionen, Zeckenentfernung, Zeckenimpfung (FSME)",https://www.onedoc.ch/de/medizinische-praxis/zurich/ebaj4/aprioris-soforthilfe-praxis-morgental
