name,address,canton,url
ACAMED Medizinzentrum Dübendorf,"Ueberlandstrasse 212, 8600 Dübendorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/dubendorf/ewgb/acamed-medizinzentrum-dubendorf
Aerzte Zentrum Erlenbach,"Drusbergstrasse 10, 8703 Erlenbach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/erlenbach/ewue/aerzte-zentrum-erlenbach
Airport Medical Center,"Prime Center 1, 8060 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/erbe/airport-medical-center
Ärztehaus Stadtrain,"Frauenfelderstrasse 124, 8404 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewra/arztehaus-stadtrain
Ärztehaus Tannenhof - Hausarztpraxis,"Florastrasse 16, 8632 Tann",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/tann/ewmb/arztehaus-tannenhof-hausarztpraxis
Ärzteteam Unterwetzikon,"Rapperswilerstrasse 19, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewu0/arzteteam-unterwetzikon
Ärztezentrum Dreispitz,"Lindauerstrasse 15, 8317 Tagelswangen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/tagelswangen/ew1w/arztezentrum-dreispitz
Ärztezentrum Männedorf,"Bahngasse 5, 8708 Männedorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/mannedorf/ewov/arztezentrum-mannedorf
Ärztezentrum Rafz,"Sonnefäld 22, 8197 Rafz",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/rafz/ewie/arztezentrum-rafz
Ärztezentrum Sihlcity,"Kalanderplatz 1, 8045 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/em19/arztezentrum-sihlcity
Ärztezentrum Stäfa,"Häldelistrasse 9, 8712 Stäfa",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/stafa/ew5r/arztezentrum-stafa
Arzthaus Zürich City,"Lintheschergasse 3, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eqxr/arzthaus-zurich-city
Arzthaus Zürich Enge,"Bederstrasse 4, 8002 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ebali/arzthaus-zurich-enge
Arzthaus Zürich Löwenplatz,"Schweizergasse 14, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ebalj/arzthaus-zurich-lowenplatz
Arzthaus Zürich Stadelhofen,"Goethestrasse 14, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewil/arzthaus-zurich-stadelhofen
Augenärzte Stäfa Zentrum Bahnhof,"Bahnhofstrasse 25, 8712 Stäfa",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/stafa/e720/augenarzte-stafa-zentrum-bahnhof
Augenärzte Wetzikon Zentrum Leue,"Bahnhofstrasse 150, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e721/augenarzte-wetzikon-zentrum-leue
Augenärzte Zentrum Winterthur,"Scheideggstrasse 33, 8404 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/eba31/augenarzte-zentrum-winterthur
Augenärzte Zürich Zentrum Schaffhauserplatz,"Weinbergstrasse 161, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e724/augenarzte-zurich-zentrum-schaffhauserplatz
Augenärzte Zürich Zentrum Wallisellen,"Bahnhofplatz 2, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/e725/augenarzte-zurich-zentrum-wallisellen
Augenarztzentrum Standort Limmatquai,"Limmatquai 94, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s8/augenarztzentrum-standort-limmatquai
Augenarztzentrum Standort Seefeld (Hirslanden),"Seefeldstrasse 214, 8008 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s9/augenarztzentrum-standort-seefeld-hirslanden
Augentagesklinik Zürich Oberland,"Bahnhofstrasse 137, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e722/augentagesklinik-zurich-oberland
Augenzentrum Glattbrugg,"Schaffhauserstrasse 110, 8152 Glattbrugg",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/glattbrugg/ex3e/augenzentrum-glattbrugg
Augenzentrum IROC,"Stockerstrasse 37, 8002 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/exk4/augenzentrum-iroc
Augenzentrum ONO Bülach,"Sechtbachweg 2, 8180 Bülach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/bulach/e9e0/augenzentrum-ono-bulach
Augenzentrum ONO Glattbrugg,"Schaffhauserstrasse 110, 8152 Opfikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/opfikon/e1qr/augenzentrum-ono-glattbrugg
Augenzentrum ONO Pfäffikon,"Turmstrasse 3, 8330 Pfäffikon ZH",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/pfaffikon/e4jc/augenzentrum-ono-pfaffikon
Augenzentrum ONO Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e1qt/augenzentrum-ono-volketswil
Augenzentrum ONO Wallisellen,"Neue Winterthurerstrasse 99, 8304 Wallisellen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/eudu/augenzentrum-ono-wallisellen
Augenzentrum ONO Winterthur,"Oberfeldstrasse 158, 8408 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/e9e1/augenzentrum-ono-winterthur
Augenzentrum Volketswil Hofwiesenstrasse 4b Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e03f/augenzentrum-volketswil-hofwiesenstrasse-4b-volketswil
Augenzentrum Watt,"Dorfstrasse 53, 8105 Watt",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/watt/exaz/augenzentrum-watt
Augenzentrum Wiedikon,"Birmensdorferstrasse 55, 8005 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eued/augenzentrum-wiedikon
Augenzentrum Winterthur,"Lagerhausstrasse 10, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewi8/augenzentrum-winterthur
B3-Praxis am Bahnhofplatz,"Bahnhofplatz 3, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et1l/b3-praxis-am-bahnhofplatz
Bachtelpraxis,"Ettenhauserstrasse 13, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ew29/bachtelpraxis
Bergpraxis,"Bergstrasse 1, 8816 Hirzel",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/hirzel/ewzf/bergpraxis
Chirurgisches Zentrum Zürich,"Witellikerstrasse 40, 8032 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et5f/chirurgisches-zentrum-zurich
Clienia Gruppenpraxen Winterthur,"Neumarkt 4, 8400 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewgr/clienia-gruppenpraxen-winterthur
Dermatologikum Zürich,"Wallisellenstrasse 301a, 8050 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/euqs/dermatologikum-zurich
Dermatologisches Zentrum Zürich,"Beckenhofstrasse 6, 8006 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewjz/dermatologisches-zentrum-zurich
Dermis - Hautklinik Zürich - Bülach,"Schaffhauserstrasse 53, 8180 Bülach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/bulach/ewmc/dermis-hautklinik-zurich-bulach
