name,address,street,postal_code,city,canton,phone,professions,official_website,google_search_url,type,url,Zuweisung,Triggered_Keywords
Adus Medica - Radiologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 64,"Nuklearmedizin, Radiologie",,https://www.google.ch/search?q=Adus+Medica+-+Radiologische+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/exeq/adus-medica-radiologische-klinik,0,
Akut-Tagesklinik / IPW,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,052 224 37 37,"Psychiatrie, Psychotherapie",https://ipw.ch/angebot/erwachsene/akut-tageskliniken-fuer-erwachsene,https://www.google.ch/search?q=Akut-Tagesklinik+/+IPW+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/ewt6/akut-tagesklinik-ipw,1,zuweisung
Akut-Tagesklinik / IPW - Tagesklinik,"Rudolfstrasse 19, 8400 Winterthur",Rudolfstrasse 19,8400,Winterthur,Zürich,052 224 37 37,"Psychiatrie, Psychotherapie",https://ipw.ch/angebot/erwachsene/akut-tageskliniken-fuer-erwachsene,https://www.google.ch/search?q=Akut-Tagesklinik+/+IPW+-+Tagesklinik+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/klinik/winterthur/e0vi/akut-tagesklinik-ipw-tagesklinik,1,zuweisung
Adus Medica AG,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 90,"Allgemeine Innere Medizin, Augenheilkunde, Chirurgie, Gynäkologie und Geburtshilfe, HNO (Hals-, Nasen-, Ohrenheilkunde), Hausarztmedizin (Allgemeinmedizin), Orthopädische Chirurgie, Urologie",https://www.adus-klinik.ch/,https://www.google.ch/search?q=Adus+Medica+AG+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/emm1/adus-medica-ag,1,"zuweisung, überweisung, zuweiser"
Augenklinik Talwiesen,"Birmensdorferstrasse 318, 8055 Zürich",Birmensdorferstrasse 318,8055,Zürich,Zürich,044 463 63 63,Augenheilkunde,https://vista.ch/standort/vista-augenpraxis-talwiesen,https://www.google.ch/search?q=Augenklinik+Talwiesen+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/klinik/zurich/e0uq/augenklinik-talwiesen,1,"zuweiser, für ärzte"
Ambulatorium und Memory-Klinik,"Alte Landstrasse 70, 8802 Kilchberg",Alte Landstrasse 70,8802,Kilchberg,Zürich,044 716 41 41,"Psychiatrie, Psychotherapie",,https://www.google.ch/search?q=Ambulatorium+und+Memory-Klinik+Kilchberg,Gruppenpraxis,https://www.onedoc.ch/de/klinik/kilchberg/e03o/ambulatorium-und-memory-klinik,0,
Adus Medica - Ophthalmologische Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 885 00 11,Augenheilkunde,,https://www.google.ch/search?q=Adus+Medica+-+Ophthalmologische+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/exvb/adus-medica-ophthalmologische-klinik,0,
Ambulatorium Glattbrugg IPW - Psychiatrische Klinik,"Feldeggstrasse 5, 8152 Glattbrugg",Feldeggstrasse 5,8152,Glattbrugg,Zürich,052 264 39 00,"Psychiatrie, Psychotherapie",,https://www.google.ch/search?q=Ambulatorium+Glattbrugg+IPW+-+Psychiatrische+Klinik+Glattbrugg,Gruppenpraxis,https://www.onedoc.ch/de/klinik/glattbrugg/ewwl/ambulatorium-glattbrugg-ipw-psychiatrische-klinik,0,
Clienia Bergheim - Psychiatrische Klinik,"Holländerstrasse 80, 8707 Uetikon",Holländerstrasse 80,8707,Uetikon,Zürich,044 929 87 11,Allgemeine Innere Medizin,https://www.clienia.ch/de/standorte/clienia-bergheim/,https://www.google.ch/search?q=Clienia+Bergheim+-+Psychiatrische+Klinik+Uetikon,Gruppenpraxis,https://www.onedoc.ch/de/klinik/uetikon/ewor/clienia-bergheim-psychiatrische-klinik,0,
Adus Medica - Kinder Chirurgie Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 310 71 71,Kinderchirurgie,https://www.adus-klinik.ch/,https://www.google.ch/search?q=Adus+Medica+-+Kinder+Chirurgie+Klinik+Dielsdorf,Gruppenpraxis,https://www.onedoc.ch/de/klinik/dielsdorf/ewhm/adus-medica-kinder-chirurgie-klinik,1,"zuweisung, überweisung, zuweiser"
