name,address,street,postal_code,city,canton,type,url
360° Kinderwunsch Zentrum Zürich,"Alte Landstrasse 112, 8702 Zollikon",Alte Landstrasse 112,8702,Zollikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zollikon/ewkw/360-kinderwunsch-zentrum-zurich
ACAMED Ärztezentrum Binz,"Gassacherstrasse 12, 8122 Binz",Gassacherstrasse 12,8122,Binz,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/binz/ewo7/acamed-arztezentrum-binz
ACAMED Ärztezentrum Zürich-Luchswiesen,"Winterthurerstrasse 689, 8051 Zürich",Winterthurerstrasse 689,8051,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exzw/acamed-arztezentrum-zurich-luchswiesen
ACAMED Arztpraxis Zürich-Altwiesen,"Altwiesenstrasse 222, 8051 Zürich",Altwiesenstrasse 222,8051,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewm2/acamed-arztpraxis-zurich-altwiesen
Activmed Arztpraxis,"Badenerstrasse 21, 8953 Dietikon",Badenerstrasse 21,8953,Dietikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dietikon/epqu/activmed-arztpraxis
Adimed Zentrum für Adipositas- und Stoffwechselmedizin Winterthur,"Lagerhausstrasse 9, 8400 Winterthur",Lagerhausstrasse 9,8400,Winterthur,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/winterthur/exbo/adimed-zentrum-fur-adipositas-und-stoffwechselmedizin-winterthur
Adipositas & Stoffwechselzentrum Zürich,"Witellikerstrasse 36, 8008 Zürich",Witellikerstrasse 36,8008,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exvp/adipositas-stoffwechselzentrum-zurich
ADUS Klinik,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/dielsdorf/e73m/adus-klinik
aeromedical.ch,"Dällikerstrasse 15, 8105 Regensdorf",Dällikerstrasse 15,8105,Regensdorf,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/regensdorf/e46z/aeromedical-ch
Aerztehaus Fluntern,"Zürichbergstrasse 70, 8044 Zürich",Zürichbergstrasse 70,8044,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewht/aerztehaus-fluntern
Age Medical,"Hardturmstrasse 131, 8005 Zürich",Hardturmstrasse 131,8005,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/exr0/age-medical
Akupunktur Ärztegemeinschaft,"Minervastrasse 10, 8032 Zürich",Minervastrasse 10,8032,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ew2m/akupunktur-arztegemeinschaft
Albispraxis,"Zürichstrasse 16, 8134 Adliswil",Zürichstrasse 16,8134,Adliswil,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/adliswil/ekkx/albispraxis
allcare.ch Arzt- und Notfallzentrum,"Hardstrasse 221, 8005 Zürich",Hardstrasse 221,8005,Zürich,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/zurich/ewmt/allcare-ch-arzt-und-notfallzentrum
allderm,"Guyer-Zeller-Strasse 10, 8620 Wetzikon",Guyer-Zeller-Strasse 10,8620,Wetzikon,Zürich,Gruppenpraxis,https://www.onedoc.ch/de/gruppenpraxis/wetzikon/exyl/allderm
