name,address,canton,url,Street / Number,ZIP Code,City
ACAMED Medizinzentrum Dübendorf,"Ueberlandstrasse 212, 8600 Dübendorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/dubendorf/ewgb/acamed-medizinzentrum-dubendorf,Ueberlandstrasse 212,8600,Dübendorf
Aerzte Zentrum Erlenbach,"Drusbergstrasse 10, 8703 Erlenbach",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/erlenbach/ewue/aerzte-zentrum-erlenbach,Drusbergstrasse 10,8703,Erlenbach
Airport Medical Center,"Prime Center 1, 8060 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/erbe/airport-medical-center,Prime Center 1,8060,Zürich
Ärztehaus Stadtrain,"Frauenfelderstrasse 124, 8404 Winterthur",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewra/arztehaus-stadtrain,Frauenfelderstrasse 124,8404,Winterthur
Ärztehaus Tannenhof - Hausarztpraxis,"Florastrasse 16, 8632 Tann",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/tann/ewmb/arztehaus-tannenhof-hausarztpraxis,Florastrasse 16,8632,Tann
Ärzteteam Unterwetzikon,"Rapperswilerstrasse 19, 8620 Wetzikon",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewu0/arzteteam-unterwetzikon,Rapperswilerstrasse 19,8620,Wetzikon
Ärztezentrum Dreispitz,"Lindauerstrasse 15, 8317 Tagelswangen",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/tagelswangen/ew1w/arztezentrum-dreispitz,Lindauerstrasse 15,8317,Tagelswangen
Ärztezentrum Männedorf,"Bahngasse 5, 8708 Männedorf",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/mannedorf/ewov/arztezentrum-mannedorf,Bahngasse 5,8708,Männedorf
Ärztezentrum Rafz,"Sonnefäld 22, 8197 Rafz",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/rafz/ewie/arztezentrum-rafz,Sonnefäld 22,8197,Rafz
Ärztezentrum Sihlcity,"Kalanderplatz 1, 8045 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/em19/arztezentrum-sihlcity,Kalanderplatz 1,8045,Zürich
Ärztezentrum Stäfa,"Häldelistrasse 9, 8712 Stäfa",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/stafa/ew5r/arztezentrum-stafa,Häldelistrasse 9,8712,Stäfa
Arzthaus Zürich City,"Lintheschergasse 3, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eqxr/arzthaus-zurich-city,Lintheschergasse 3,8001,Zürich
Arzthaus Zürich Enge,"Bederstrasse 4, 8002 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ebali/arzthaus-zurich-enge,Bederstrasse 4,8002,Zürich
Arzthaus Zürich Löwenplatz,"Schweizergasse 14, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ebalj/arzthaus-zurich-lowenplatz,Schweizergasse 14,8001,Zürich
Arzthaus Zürich Stadelhofen,"Goethestrasse 14, 8001 Zürich",Zürich,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewil/arzthaus-zurich-stadelhofen,Goethestrasse 14,8001,Zürich
