name,address,street,postal_code,city,canton,phone,professions,official_website,google_search_url,type,url,Zuweisung,Triggered_Keywords
ACAMED Medizinzentrum Dübendorf,"Ueberlandstrasse 212, 8600 Dübendorf",Ueberlandstrasse 212,8600,Dübendorf,Zürich,044 821 60 50,"Akupunktur, Allgemeine Innere Medizin, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie, Traditionelle Chinesische Medizin (TCM)",https://acamed.ch/arzt-medizinzentrum-duebendorf/,https://www.google.ch/search?q=ACAMED+Medizinzentrum+Dübendorf+Dübendorf,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/dubendorf/ewgb/acamed-medizinzentrum-dubendorf,1,"zuweisung, überweisung"
Aerzte Zentrum Erlenbach,"Drusbergstrasse 10, 8703 Erlenbach",Drusbergstrasse 10,8703,Erlenbach,Zürich,044 910 05 18,"Allgemeine Innere Medizin, Infektiologie",https://www.aerztezentrumerlenbach.ch/,https://www.google.ch/search?q=Aerzte+Zentrum+Erlenbach+Erlenbach,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/erlenbach/ewue/aerzte-zentrum-erlenbach,0,
Airport Medical Center,"Prime Center 1, 8060 Zürich",Prime Center 1,8060,Zürich,Zürich,043 816 60 00,"Allgemeine Innere Medizin, COVID-19 Test, Gynäkologie und Geburtshilfe, Die Pille danach, Gynäkologischer Notfall | Notfall Frauenarzt, Reiseberatung, Schwangerschaftsultraschall, Verhütung, Verkehrsmedizinische Kontrolluntersuchung STUFE 2, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Wechseljahre | Menopause",https://www.airportmedicalcenter.ch/home-en.html,https://www.google.ch/search?q=Airport+Medical+Center+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/erbe/airport-medical-center,0,
Ärztehaus Stadtrain,"Frauenfelderstrasse 124, 8404 Winterthur",Frauenfelderstrasse 124,8404,Winterthur,Zürich,052 242 88 88,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.aerztehaus-stadtrain.ch/,https://www.google.ch/search?q=Ärztehaus+Stadtrain+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/ewra/arztehaus-stadtrain,0,
Ärztehaus Tannenhof - Hausarztpraxis,"Florastrasse 16, 8632 Tann",Florastrasse 16,8632,Tann,Zürich,055 555 30 00,"Allgemeine Innere Medizin, Kinder- und Jugendpsychiatrie",https://www.tannenhofpraxis.ch/,https://www.google.ch/search?q=Ärztehaus+Tannenhof+-+Hausarztpraxis+Tann,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/tann/ewmb/arztehaus-tannenhof-hausarztpraxis,0,
Ärzteteam Unterwetzikon,"Rapperswilerstrasse 19, 8620 Wetzikon",Rapperswilerstrasse 19,8620,Wetzikon,Zürich,044 932 30 30,Allgemeine Innere Medizin,https://www.aerzteteam-unterwetzikon.ch/,https://www.google.ch/search?q=Ärzteteam+Unterwetzikon+Wetzikon,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ewu0/arzteteam-unterwetzikon,0,
Ärztezentrum Dreispitz,"Lindauerstrasse 15, 8317 Tagelswangen",Lindauerstrasse 15,8317,Tagelswangen,Zürich,052 355 18 88,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Pädiatrie",https://www.az-tagelswangen.ch/,https://www.google.ch/search?q=Ärztezentrum+Dreispitz+Tagelswangen,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/tagelswangen/ew1w/arztezentrum-dreispitz,0,
Ärztezentrum Männedorf,"Bahngasse 5, 8708 Männedorf",Bahngasse 5,8708,Männedorf,Zürich,044 920 44 14,Allgemeine Innere Medizin,https://www.az-maennedorf.ch/,https://www.google.ch/search?q=Ärztezentrum+Männedorf+Männedorf,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/mannedorf/ewov/arztezentrum-mannedorf,0,
Ärztezentrum Rafz,"Sonnefäld 22, 8197 Rafz",Sonnefäld 22,8197,Rafz,Zürich,044 886 80 00,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",,https://www.google.ch/search?q=Ärztezentrum+Rafz+Rafz,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/rafz/ewie/arztezentrum-rafz,0,
Ärztezentrum Sihlcity,"Kalanderplatz 1, 8045 Zürich",Kalanderplatz 1,8045,Zürich,Zürich,044 508 00 10,"Allgemeine Innere Medizin, Augenheilkunde, Dermatologie und Venerologie, Gynäkologie und Geburtshilfe, HNO (Hals-, Nasen-, Ohrenheilkunde), Kardiologie, Akne, Altersbedingte Makuladegeneration | AMD, Audiogramm, Augencheck | Untersuchung der Sehkraft | Visustest, Brille, Endometriose, Ergometrie | Belastungstest | Leistungstest, Gesichtsfeld, Glaukom | Grüner Star, Hautcheck, Holter EKG | Langzeit-EKG, Hörtest | Audiometrie, Impfberatung, Katarakt | Grauer Star, Langzeit-Blutdruck | 24h Blutdruckmessung, Muttermalkontrolle, Professionelle Gehörgangreinigung | Ohrenspülen | Cerumenentfernung, Reiseberatung, Schnarchen, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verhütung, Vorsorgeuntersuchung Humane Papillomaviren (HPV) | PAP Abstrich, Vorsorgeuntersuchung | Check up, Wechseljahre | Menopause",https://www.aerztezentrum-sihlcity.ch/,https://www.google.ch/search?q=Ärztezentrum+Sihlcity+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/em19/arztezentrum-sihlcity,0,
